market,date,strategy,strategy_label,solver,is_theoretical_optimum,gross_revenue,charging_cost,gross_profit,degradation_cost,net_profit,charge_energy_mwh,discharge_energy_mwh,cell_throughput_q_mwh,efc,efc_rated,efc_usable,min_soc,max_soc,final_soc,cumulative_pnl,rolling_avg_pnl_30d,profit_per_mwh,profit_per_cycle
shandong,2026-08-07,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,9999.62,43450.56,4800.0,38650.56,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,312647.92,44663.99,524.0,96626.4
shandong,2026-08-07,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,63959.64,129453.13,19200.0,110253.13,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,856790.67,122398.67,373.69,68908.21
shandong,2026-08-08,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,49762.18,-3018.64,52780.82,4800.0,47980.82,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,360628.74,45078.59,650.5,119952.05
shandong,2026-08-08,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,186036.77,39277.26,146759.52,19200.0,127559.52,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,984350.19,123043.77,432.35,79724.7
shandong,2026-08-09,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,49762.18,-1717.13,51479.3,4800.0,46679.3,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,407308.04,45256.45,632.85,116698.25
shandong,2026-08-09,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,186036.77,39797.86,146238.91,19200.0,127038.91,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,1111389.1,123487.68,430.58,79399.32
shandong,2026-08-10,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,9999.62,43450.56,4800.0,38650.56,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,445958.6,44595.86,524.0,96626.4
shandong,2026-08-10,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,63265.5,130147.27,19200.0,110947.27,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,1222336.37,122233.64,376.04,69342.04
shandong,2026-08-11,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,-1717.13,55167.3,4800.0,50367.3,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,496325.9,45120.54,682.85,125918.25
shandong,2026-08-11,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,41186.15,152226.62,19200.0,133026.62,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,1355362.99,123214.82,450.88,83141.64
shandong,2026-08-12,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,-3018.64,56468.82,4800.0,51668.82,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,547994.72,45666.23,700.5,129172.05
shandong,2026-08-12,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,39277.26,154135.52,19200.0,134935.52,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,1490298.51,124191.54,457.35,84334.7
shandong,2026-08-13,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,9999.62,43450.56,4800.0,38650.56,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,586645.28,45126.56,524.0,96626.4
shandong,2026-08-13,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,62571.36,130841.42,19200.0,111641.42,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,1601939.93,123226.15,378.39,69775.89
shandong,2026-08-14,fixed_peak_valley,Fixed Peak-Valley Benchmark,Rule_Based,False,53450.18,-3018.64,56468.82,4800.0,51668.82,86.768,73.76,160.0,0.4,0.4,0.5,0.5,0.9,0.5,638314.1,45593.86,700.5,129172.05
shandong,2026-08-14,perfect_foresight,Ex-post Theoretical Optimum (MILP),HiGHS_MILP,True,193412.77,37888.97,155523.8,19200.0,136323.8,347.072,295.04,640.0,1.6,1.6,2.0,0.1,0.9,0.5,1738263.73,124161.7,462.05,85202.37
